0,1,stock
S&P 500 52-Week Change 3,28.04%,EURN
52 Week High 3,21.26,EURN
52 Week Low 3,14.10,EURN
50-Day Moving Average 3,17.20,EURN
200-Day Moving Average 3,17.44,EURN
Beta (5Y Monthly),0.89,HIG
52 Week Range 3,43.63%,HIG
S&P 500 52-Week Change 3,28.04%,HIG
52 Week High 3,103.64,HIG
52 Week Low 3,67.42,HIG
50-Day Moving Average 3,99.79,HIG
200-Day Moving Average 3,84.08,HIG
Beta (5Y Monthly),1.02,ARCC
52 Week Range 3,13.82%,ARCC
S&P 500 52-Week Change 3,28.04%,ARCC
52 Week High 3,21.53,ARCC
52 Week Low 3,18.01,ARCC
50-Day Moving Average 3,20.58,ARCC
200-Day Moving Average 3,19.93,ARCC
Beta (5Y Monthly),2.46,CHX
52 Week Range 3,26.27%,CHX
S&P 500 52-Week Change 3,28.04%,CHX
52 Week High 3,39.95,CHX
52 Week Low 3,24.98,CHX
50-Day Moving Average 3,35.10,CHX
200-Day Moving Average 3,32.56,CHX
Beta (5Y Monthly),0.36,JKS
52 Week Range 3,-47.99%,JKS
S&P 500 52-Week Change 3,28.04%,JKS
52 Week High 3,47.85,JKS
52 Week Low 3,21.06,JKS
50-Day Moving Average 3,24.53,JKS
200-Day Moving Average 3,29.29,JKS
Beta (5Y Monthly),0.63,MUFG
52 Week Range 3,51.97%,MUFG
S&P 500 52-Week Change 3,28.04%,MUFG
52 Week High 3,11.22,MUFG
52 Week Low 3,6.47,MUFG
50-Day Moving Average 3,10.14,MUFG
200-Day Moving Average 3,9.05,MUFG
Beta (5Y Monthly),1.54,PLYA
52 Week Range 3,-4.80%,PLYA
S&P 500 52-Week Change 3,28.04%,PLYA
52 Week High 3,9.85,PLYA
52 Week Low 3,6.88,PLYA
50-Day Moving Average 3,9.23,PLYA
200-Day Moving Average 3,8.17,PLYA
Beta (5Y Monthly),0.97,GNTX
52 Week Range 3,26.97%,GNTX
S&P 500 52-Week Change 3,28.04%,GNTX
52 Week High 3,37.58,GNTX
52 Week Low 3,25.86,GNTX
50-Day Moving Average 3,35.14,GNTX
200-Day Moving Average 3,33.03,GNTX
Beta (5Y Monthly),1.67,TEX
52 Week Range 3,29.14%,TEX
S&P 500 52-Week Change 3,28.04%,TEX
52 Week High 3,65.89,TEX
52 Week Low 3,43.70,TEX
50-Day Moving Average 3,61.18,TEX
200-Day Moving Average 3,57.01,TEX
Beta (5Y Monthly),1.91,APTV
52 Week Range 3,-11.40%,APTV
S&P 500 52-Week Change 3,28.04%,APTV
52 Week High 3,113.60,APTV
52 Week Low 3,68.84,APTV
50-Day Moving Average 3,77.01,APTV
200-Day Moving Average 3,85.52,APTV
Beta (5Y Monthly),2.10,PUMP
52 Week Range 3,25.32%,PUMP
S&P 500 52-Week Change 3,28.04%,PUMP
